repository,role,github_url
second_brain_database,Cybersecurity Engineer,https://github.com/rohanbatrain/second_brain_database/blob/main/src/second_brain_database/main.py
second_brain_database,Cybersecurity Engineer,https://github.com/rohanbatrain/second_brain_database/blob/main/src/second_brain_database/main.py
second_brain_database,Cybersecurity Engineer,https://github.com/rohanbatrain/second_brain_database/blob/main/src/second_brain_database/config.py
emotion_tracker,Cybersecurity Engineer,https://github.com/rohanbatrain/emotion_tracker/blob/main/lib/
sbd_sso,Cybersecurity Engineer,https://github.com/rohanbatrain/sbd_sso
second_brain_database,Full Stack Developer,https://github.com/rohanbatrain/second_brain_database/blob/main/src/
emotion_tracker,Full Stack Developer,https://github.com/rohanbatrain/emotion_tracker/blob/main/lib/
rohan_batra,Full Stack Developer,https://github.com/rohanbatrain/rohan_batra
blog,Full Stack Developer,https://github.com/rohanbatrain/blog
second_brain_database_flutter_frontend,Full Stack Developer,https://github.com/rohanbatrain/second_brain_database_flutter_frontend
emotion_tracker,Flutter Developer,https://github.com/rohanbatrain/emotion_tracker/releases
rohan_batra,Flutter Developer,https://github.com/rohanbatrain/rohan_batra/blob/main/lib/
sbd_flutter_template,Flutter Developer,https://github.com/rohanbatrain/sbd_flutter_template
second_brain_database_flutter_frontend,Flutter Developer,https://github.com/rohanbatrain/second_brain_database_flutter_frontend
second_brain_database,DevOps Engineer,https://github.com/rohanbatrain/second_brain_database/blob/main/docker-compose.yml
proxmox-auto-install-assistant-docker,DevOps Engineer,https://github.com/rohanbatrain/proxmox-auto-install-assistant-docker/blob/main/Dockerfile
gh-experiments,DevOps Engineer,https://github.com/rohanbatrain/gh-experiments/blob/main/.github/workflows/
docker-compose-setup,DevOps Engineer,https://github.com/rohanbatrain/docker-compose-setup
scripts,DevOps Engineer,https://github.com/rohanbatrain/scripts
second_brain_database,Python Backend Developer,https://github.com/rohanbatrain/second_brain_database/blob/main/src/
MarkLang,Python Backend Developer,https://github.com/rohanbatrain/MarkLang/blob/main/main.py
second-brain-tools-2022,Python Backend Developer,https://github.com/rohanbatrain/second-brain-tools-2022
ollama-gh-action,Python Backend Developer,https://github.com/rohanbatrain/ollama-gh-action
sbdfs,Python Backend Developer,https://github.com/rohanbatrain/sbdfs
second_brain_database,Cloud Solutions Architect,https://github.com/rohanbatrain/second_brain_database/blob/main/README.md
docker-compose-setup,Cloud Solutions Architect,https://github.com/rohanbatrain/docker-compose-setup
proxmox-auto-install-assistant-docker,Cloud Solutions Architect,https://github.com/rohanbatrain/proxmox-auto-install-assistant-docker
nix-config,Cloud Solutions Architect,https://github.com/rohanbatrain/nix-config
nix-config,Linux Systems Administrator,https://github.com/rohanbatrain/nix-config
suckless-dwm,Linux Systems Administrator,https://github.com/rohanbatrain/suckless-dwm
suckless-dmenu,Linux Systems Administrator,https://github.com/rohanbatrain/suckless-dmenu
suckless-st,Linux Systems Administrator,https://github.com/rohanbatrain/suckless-st
scripts,Linux Systems Administrator,https://github.com/rohanbatrain/scripts
karmstrot-linux,Linux Systems Administrator,https://github.com/rohanbatrain/karmstrot-linux
second_brain_database,Site Reliability Engineer,https://github.com/rohanbatrain/second_brain_database/blob/main/src/second_brain_database/main.py
second_brain_database,Site Reliability Engineer,https://github.com/rohanbatrain/second_brain_database/blob/main/changelog.md
emotion_tracker,Site Reliability Engineer,https://github.com/rohanbatrain/emotion_tracker
docker-compose-setup,Site Reliability Engineer,https://github.com/rohanbatrain/docker-compose-setup
second-brain-tools-2022,Open Source Developer,https://github.com/rohanbatrain/second-brain-tools-2022
MarkLang,Open Source Developer,https://github.com/rohanbatrain/MarkLang
proxmox-auto-install-assistant-docker,Open Source Developer,https://github.com/rohanbatrain/proxmox-auto-install-assistant-docker
Karmstrot-Builds,Android Systems Developer,https://github.com/rohanbatrain/Karmstrot-Builds
android_kernel_oneplus_sm8250,Android Systems Developer,https://github.com/rohanbatrain/android_kernel_oneplus_sm8250
kernel_oneplus_sm8250,Android Systems Developer,https://github.com/rohanbatrain/kernel_oneplus_sm8250
Anomaly-Kernel,Android Systems Developer,https://github.com/rohanbatrain/Anomaly-Kernel
po_kernel_oneplus_sm8250,Android Systems Developer,https://github.com/rohanbatrain/po_kernel_oneplus_sm8250
KernelSU,Android Systems Developer,https://github.com/rohanbatrain/KernelSU
device_oneplus_opkona,Android Systems Developer,https://github.com/rohanbatrain/device_oneplus_opkona
AnyKernel3-SM8250,Android Systems Developer,https://github.com/rohanbatrain/AnyKernel3-SM8250
